,Titulo,Ingredientes,Elaboracion
1,tortita de flor de sabila con huevos,"[""flor de sabila   doni ra ju'ta"", ""comino  it'ei"", ""pimiento   it'iyuni"", 'clavo   xayu ni', 'ajo    axi', ""jitomate  dadim'axi"", ""chile bandeno  k'aman'i""]",": se corta la flor del bracito del quiote de la sabila. se lava tres  veces. harina de trigo 100 grs. le echan el huevo y lo baten. no hay  que poner a hervir la flor, se pone en aceite  en la lumbre. ya  calientito se echa una cucharada de aceite, se van haciendo las  tortitas. salsa: moler el jitomate con el ajo y el chile bandeno, incorporar todos  los condimentos y mezclar.  sazonar con sal al gusto. "
2,salsa de venadita,"[""chile bandeno    k'aman'i"", 'xoconostl  ixaha', 'ajo     axi', 'sal     u', 'venadita4  dedgani5']",": se muele el chile con el xoconostle. luego lavar la venadita, quitar las hojitas y echarla a la salsa. esta salsa se hace en los meses de agosto y septiembre que  abunda la venadita por las lluvias. "
3,tantarrias o ya xa'ue con salsa molidas,"[""tantarrias  xa'ue"", ""chile bandeno   k'aman'i"", 'ajo    axi', 'sal    nera u']",": a las tantarrias se les escurren sus liquidos, se exprimen y se  echan en agua con sal, luego se doran en el comal para que no  tengan grasa. salsita: y ahi se muelen los xa'ues o tantarrias y se comen en  taco. salsa: moler el ajo con el chile de su preferencia, el jitomate  o tomate, segun haya elegido el chile (si es verde es tomate, si es  chile de arbol es jitomate), con el ajo y la cebolla. sazonar con sal  al gusto. salsa verde: moler los chiles con el ajo la cebolla. tambien puede ser que sean molidas las tantarrias con la salsa  en el molcajete. "
4,otra receta de tantarrias,[],": juntarlas de los arboles de mezquite. echarlas en agua con sal. po- nerlas a escurrir en la sarten con aceite. dorarlas hasta que se cue- zan. comerlas con salsa de molcajete con chile verde o de arbol. salsa de arbol: chile de arbol, tomates, cebolla y ajo.  "
5,quesadilla de flor de calabaza,[],": se toma una tortilla fresca se agrega la flor de calabaza cruda con  una hoja de epazote y queso fresco para que se vaya derritiendo  el queso y se cocine la flor. las quesadillas las forman como tacos  dorados, o sea, doblan la tortilla en tres. estas quesadillas tambien se pueden hacer con la flor de ca- labaza, cebolla y ajo cocinado en aceite y despues de cocinarlo lo  pueden utilizar con la quesadilla doblada la tortilla en dos partes.  "
6,mole de conejo,"[""1   conejo completo  n'a ra jua di xotho"", ""100 gramos de chile bandeno   n'i jom'i"", ""comino  it'ei"", ""pimienta  it'i yuni"", '6  clavitos  xayuni', ""3  dientes de ajo  hnu ts'ii axi""]",": se mata, se pela y se lava. al dia siguiente se hierve una hora, dependiendo lo viejo que  este, se recomienda joven. se destaza y se echa al aceite que este friendo hasta que  quede doradito. aparte, el chile, ya molido, se agrega cuando se esta dorando y  ya que este hirviendo se agrega el comino y, listo. (para seis o siete personas) "
7,gusanos de maguey,[],": en los magueyes muy maduros se encuentran los gusanitos. se juntan, se asan en el comal sin aceite, se les pone tantita sal  y se comen con salsa. los gusanos se encuentran en epoca de lluvia, en los magueyes  muy maduros. "
8,frijoles ventureros,"["" 1/4   de kilogramo de frijol venturero   juu nen'u"", "" 1/4   de kilogramo de chile guajillo   theyhon'i""]",": la planta se hierve con la cebolla sin aceite debido a que esta re- ceta no debe de llevar grasa, lo indico muchas veces, cuando este  sancochado se muele el chile bandeno, se muelen los tres dientes  de ajo, una pizca de comino fresco, tres granos de pimienta, tres  clavos, masa para una tortilla cruda, se muele la salsa y se agrega  a las plantas cuando ya esten sancochadas, se deja hervir un poco  mas para que tomen sabor. la receta debe de estar preparada en  barro y se comen con tortillas hechas  a mano. se recoge la planta del frijol que nace a la hora que tiene dos  hojas la planta. esta planta sale en epoca de lluvia debido a que el  frijol de la cosecha se queda y nace con la lluvia. "
9,flor de sabila,"[""2  docenas de flor sabila   yoho  r'et'a  mayoho juta"", ""1  cebolla de cabecita (cambray)   n'a denxi (t'udenxi)"", ""4  dientes de ajo   goho nts'ii axi"", ""  chile al gusto   u na'a da ne""]",": se pica, la cebolla, una pieza, ajo, dos dientes, chile verde, del  que no es gordo, en una cazuela de barro, a la lumbre de lena, se  colocan la sabila a la lumbre con sal, se tapa y con el jugo de la  sabila se va cociendo por media hora. "
10,flor de quiote,"['flor de quiote   doni ra boo', ""comino   it'ei"", ""pimienta   it'iyuni"", 'clavo   xayu ni', 'ajo     axi', ""jitomate   dadim'axi"", ""chile bandeno   k'aman'i""]",": se corta y se le saca el corazon de la flor y la flor se pone a hervir y  luego se muele un chile verde o rojo, bandeno o negro. se frie el chile con cebolla y aceite, ya que este hirviendo le  echa la flor de quiote previamente lavada dos veces y se pone en el  chile que ya esta hirviendo. "
